author,edition_year,name,price,publisher,ratings
今何在,2001-4,悟空传,14.80元,光明日报出版社,8.4
余华,2005-8,兄弟（上）,16.00元,上海文艺出版社,8.3
艾米莉·勃朗特,人民文学出版社,呼啸山庄,1999-1,张扬,8.4
金庸,1994-5,笑傲江湖（全四册）,76.80元,生活·读书·新知三联书店,9.0
[美] M·斯科特·派克,吉林文史出版社,少有人走的路,2007-1,于海生,8.4
刘瑜,2009-6,民主的细节,25.00,上海三联书店,8.6
龙应台,2008-12,亲爱的安德烈,26.00,人民文学出版社,8.7
[美] 卡勒德·胡赛尼,上海人民出版社,灿烂千阳,2007-9,李继宏,8.8
海明威,上海译文出版社,老人与海,1999-10,吴劳,8.3
张德芬,2008-1,遇见未知的自己,29.00,华夏出版社,8.1
[英] 乔治·奥威尔,上海译文出版社,一九八四·动物农场,2003-4,董乐山,9.3
[巴西]保罗·柯艾略,南海出版公司,牧羊少年奇幻之旅,2009-3-1,丁文林,8.6
[英] 阿·柯南道尔,群众出版社,福尔摩斯探案全集（上中下）,1981-8,丁钟华 等,9.2
郭敬明,2008-10,小时代1.0折纸时代,29.80元,长江文艺出版社,6.5
[美] 弗拉基米尔·纳博科夫,上海译文出版社,洛丽塔,2005-12,主万,7.7
[哥伦比亚] 加西亚·马尔克斯,上海译文出版社,百年孤独,1989-10,黄锦炎,8.9
[日] 村上春树,南海出版公司,1Q84 BOOK 2,2010-6,施小炜,8.4
安妮宝贝,2007-9,素年锦时,27.00元,作家出版社,7.8
[日] 岩井俊二,天津人民出版社,情书,2004-7,穆晓芳,8.6
蔡智恒,1999-11-1,第一次的亲密接触,12.80,知识出版社,7.4
金庸,生活·读书·新知三联书店,神雕侠侣,1994-5,有1996年11月北平第4次印本,8.8
韩寒,2006-1,一座城池,19.90元,二十一世纪出版社,7.4
小仲马,外国文学出版社,茶花女,1997-3,王振孙,8.2
[美国] J. D. 塞林格,译林出版社,麦田里的守望者,1997-2,施咸荣,7.9
韩寒,2009-1,他的国,25.00元,万卷出版公司,7.5
高铭,2010-2,天才在左 疯子在右,29.80元,武汉大学出版社,8.2
[英] 奥斯丁,人民文学出版社,傲慢与偏见,1993-7,张玲,8.8
张爱玲,1997-3-1,倾城之恋,11.00,花城出版社,8.5
韩寒,2000-5,三重门,16.00,作家出版社,7.4
[美] 卡勒德·胡赛尼,上海人民出版社,追风筝的人,2006-5,李继宏,8.9
[法] 圣埃克苏佩里,人民文学出版社,小王子,2003-8,马振聘,9.0
钱锺书,1991-2,围城,19.00,人民文学出版社,8.9
[日] 东野圭吾,南海出版公司,解忧杂货店,2014-5,李盈春,8.6
李可,2007-9,杜拉拉升职记,26.00元,陕西师范大学出版社,7.8
当年明月,2006-9,明朝那些事儿（壹）,24.80,中国友谊出版公司,8.7
[英] J. K. 罗琳,人民文学出版社,哈利·波特与阿兹卡班的囚徒,2000-9,郑须弥,8.9
龙应台,2009-10,目送,39.00元,生活·读书·新知三联书店,8.7
[法] 玛格丽特·杜拉斯,上海译文出版社,情人,2005-7,王道乾,8.1
[英] J. K. 罗琳,人民文学出版社,哈利·波特与密室,2000-9,马爱新,8.9
[美] 黄仁宇,1997-5,万历十五年,18.00元,生活·读书·新知三联书店,8.9
余华,1998-5,活着,12.00元,南海出版公司,9.1
[日] 东野圭吾,南海出版公司,白夜行,2008-9,刘姿君,9.1
[日] 村上春树,上海译文出版社,挪威的森林,2001-2,林少华,8.0
[日] 东野圭吾,南海出版公司,嫌疑人X的献身,2008-9,刘子倩,8.9
刘慈欣,2008-1,三体,23.00,重庆出版社,8.8
杨绛,2003-7,我们仨,18.80元,生活·读书·新知三联书店,8.7
郭敬明,2003-1,幻城,28.00元,春风文艺出版社,7.0
辛夷坞,2007-8,致我们终将逝去的青春,25.00元,朝华出版社,7.8
[日] 村上春树,南海出版公司,1Q84 BOOK 1,2010-5,施小炜,8.3
姜戎,2004-4,狼图腾,32.00元,长江文艺出版社,8.3
顾漫,2009-8,微微一笑很倾城,25.00,江苏文艺出版社,8.0
韩寒 主编,2010-7-6,独唱团（第一辑）,16.00元,书海出版社,7.8
[捷克] 米兰·昆德拉,上海译文出版社,不能承受的生命之轻,2003-7,许钧,8.5
[清] 曹雪芹 著,1996-12,红楼梦,59.70元,人民文学出版社,9.6
郭敬明,2003-11,梦里花落知多少,20.00元,春风文艺出版社,7.1
[美] 丹·布朗,上海人民出版社,达·芬奇密码,2004-2,朱振武,8.2
柴静,2013-1-1,看见,39.80元,广西师范大学出版社,8.8
[哥伦比亚] 加西亚·马尔克斯,南海出版公司,百年孤独,2011-6,范晔,9.2
安妮宝贝,2006-3,莲花,25.00元,作家出版社,8.0
[英] J. K. 罗琳,人民文学出版社,哈利·波特与火焰杯,2001-5,马爱新,9.0
沈从文,2002-4,边城,12.00元,北岳文艺出版社,8.6
[英] 毛姆,上海译文出版社,月亮和六便士,2006-8,傅惟慈,9.0
幾米,2002-8,向左走·向右走,16.00元,生活·读书·新知三联书店,8.4
余华,2012-8-1,活着,20.00元,作家出版社,9.3
霍达,1988-12-1,穆斯林的葬礼,32.00,北京十月文艺出版社,8.2
张嘉佳,2013-11-1,从你的全世界路过,CNY 39.80,湖南文艺出版社,7.1
郭敬明,2007-5,悲伤逆流成河,24.00元,长江文艺出版社,6.2
[日] 东野圭吾,南海出版公司,恶意,2009-6,娄美莲,8.4
韩寒,2010-9,1988：我想和这个世界谈谈,25.00元,国际文化出版公司,7.9
顾漫,2007-4,何以笙箫默,15.00元,朝华出版社,7.8
路遥,2005-1,平凡的世界（全三部）,64.00元,人民文学出版社,9.0
[英] 夏洛蒂·勃朗特,2003-11,简爱（英文全本）,18.00元,世界图书出版公司,8.5
张爱玲,2006-12,半生缘,28.00元,北京十月文艺出版社,8.6
江南,2004-1,此间的少年,25.00元,华文出版社,8.4
宋鸿兵 编著,2007-6,货币战争,38.00元,中信出版社,7.2
匪我思存,2007-2,佳期如梦,20.00元,新世界出版社,7.9
金庸,生活.读书.新知三联书店,天龙八部,1994-5,有1996年11月北平第4次印刷本,9.1
[日]东野圭吾,南海出版公司,放学后,2010-1,赵峻,7.6
J.K.Rowling,2007-7-21,Harry Potter and the Deathly Hallows,34.99美元,Arthur A. Levine Books,8.9
韩寒,2004-8,长安乱,20.00元,中国青年出版社,7.4
[英] J. K. 罗琳,人民文学出版社,哈利·波特与魔法石,2000-9,苏农,9.0
[日] 东野圭吾,南海出版公司,白夜行,2013-1-1,刘姿君,9.2
刘慈欣,2008-5,三体Ⅱ,32.00,重庆出版社,9.3
[美国] 玛格丽特·米切尔,译林出版社,飘,2000-9,李美华,9.3
刘瑜,2010-1,送你一颗子弹,25.00元,上海三联书店,8.6
[澳] 考琳·麦卡洛,译林出版社,荆棘鸟,1998-7,曾胡,8.6
郭敬明,2003-5,左手倒影，右手年华。,16.00元,上海译文出版社,6.7
韩寒,2000-08,零下一度,12.00,上海人民出版社,7.2
韩寒,2002-1,像少年啦飞驰,16.00元,作家出版社,7.3
东野圭吾,南海出版公司,嫌疑人X的献身,2014-6,刘子倩,9.0
郭敬明,2010-1,小时代2.0虚铜时代,26.80元,长江文艺出版社,6.3
张爱玲,2005-6,金锁记,13.5元,哈尔滨出版社,8.5
（美）鲁思・本尼迪克特,商务印书馆,菊与刀,1990-6,吕万和,8.2
张爱玲,2006-12,倾城之恋,29.80元,北京十月文艺出版社,8.7
[英]毛姆,上海译文出版社,刀锋,2007-3,周煦良,9.0
刘慈欣,2005-6,球状闪电,22.00元,四川科学技术出版社,8.7
[美] 斯宾塞·约翰逊,中信出版社,谁动了我的奶酪？,2001-9,吴立俊,7.1
[以色列]尤瓦尔·赫拉利,中信出版社,人类简史,2014-11-1,林俊宏,9.1
[英] 阿加莎・克里斯蒂,人民文学出版社,无人生还,2008-3,祁阿红,8.9
高木直子,大田,一個人住第5年,2004-12-1,洪俞君,8.4
菲茨杰拉德,人民文学出版社,了不起的盖茨比,2004-06,姚乃强,8.3
[美] 奥德丽·尼芬格,人民文学出版社,时间旅行者的妻子,2007-4,夏金,8.1
安妮宝贝,2000-1,告别薇安,19.00,中国社会科学出版社,7.5
梁文道,2009-1,常识,38.00,广西师范大学出版社,8.1
[英] J. K. 罗琳,人民文学出版社,哈利·波特与混血王子,2005-10,马爱农,8.8
[日] 青山七惠,上海译文出版社,一个人的好天气,2007-9,竺家荣,7.6
（挪威）乔斯坦·贾德,作家出版社,苏菲的世界,1999-04,萧宝森,8.5
余华,1998-9,许三观卖血记,16.80元,南海出版公司,8.7
郭敬明,2005-2,1995-2005夏至未至,24.00元,春风文艺出版社,7.3
刘慈欣,2010-11,三体Ⅲ,38.00元,重庆出版社,9.2
[美] 彼得·海斯勒,上海译文出版社,寻路中国,2011-1,李雪顺,9.0
七堇年,2007-11,被窝是青春的坟墓,22.00元,长江文艺出版社,7.7
廖信忠,2009-11,我们台湾这些年,29.80元,重庆出版集团,7.4
[日] 村上春树,南海出版公司,1Q84 BOOK 3,2011-1,施小炜,7.6
[日] 岩井俊二,天津人民出版社,关于莉莉周的一切,2006-12,张苓,7.7
八月长安,2009-12,你好，旧时光（上 下）,39.80元,新世界出版社,8.8
笛安,2010-7-1,东霓,26.80元,长江文艺出版社,8.1
尾田荣一郎,浙江人民美术出版社,海贼王,2007-11,董科,9.5
桐华,2010-01,那些回不去的年少时光,23.80元,江苏文艺出版社,8.5
[印] 罗宾德拉纳德·泰戈尔,哈尔滨出版社,飞鸟集,2004-6,徐翰林,8.8
沧月,2006-10,七夜雪,25.00元,北京十月文艺出版社,8.4
舒仪,2009-3,曾有一个人，爱我如生命,23.80,中国画报出版社,7.5
九把刀,2007-1,那些年，我们一起追的女孩,20.00元,花山文艺出版社,8.2
王小波,2008-5,爱你就像爱生命,18.00元,上海锦绣文章出版社,8.8
三毛,2011-1-7,撒哈拉的故事,24.00元,北京十月文艺出版社,9.3
桐华,2006-6,步步惊心,25.00元,民族出版社,8.1
蔡崇达,2014-12-1,皮囊,39.80元,天津人民出版社,7.6
安妮宝贝,2004-1,二三事,20.00元,南海出版公司,7.7
余华,2006-3,兄弟（下）,27.00元,上海文艺出版社,7.4
（日）东野圭吾,南海出版公司,嫌疑人X的献身,2009年11月,刘子倩,9.0
艾米,2007-9,山楂树之恋,25.00元,江苏文艺出版社,7.8
唐七公子,2011-1,华胥引（全二册）,39.80元,现代出版社,8.4
三毛,1976,撒哈拉的故事,160 TWD,皇冠出版社,9.0
南派三叔,2007-1,盗墓笔记,26.80元,中国友谊出版公司,8.3
[哥伦比亚] 加西亚·马尔克斯,南海出版公司,霍乱时期的爱情,2012-9-1,杨玲,9.0
[英] J. K. 罗琳,人民文学出版社,哈利·波特与凤凰社,2003-9,马爱农,8.7
亦舒,2007-2,喜宝,22.00元,新世界出版社,8.0
藤子・F・不二雄,吉林美术出版社,机器猫哆啦A梦23,1999-12,碧日,9.5
鲁迅,2003-7,阿Q正传,14.50元,上海书店出版社,8.7
大冰,2014-9-1,乖，摸摸头,36.00元,湖南文艺出版社,7.4
七堇年,2007-1,大地之灯,22.00元,长江文艺出版社,8.2
[英]克莱儿·麦克福尔,百花洲文艺出版社,摆渡人,2015-6-1,付强,6.2
王小波,2009-07-01,黄金时代,23.00元,陕西师范大学出版社,8.9
龙应台,2009-12-1,孩子你慢慢来,28.00元,生活·读书·新知三联书店,8.8
安东尼,2010-10,橙,28.80元,长江文艺出版社,8.2
[法] 雨果,人民文学出版社,悲惨世界（上中下）,1992-6,李丹,8.9
南派三叔,2008-11,盗墓笔记4,32.80元,中国友谊出版公司,8.4
[美] 卡罗琳·帕克丝特,南海出版公司,巴别塔之犬,2007-7,何致和,7.7
[日] 川端康成,广西师范大学出版社,伊豆的舞女,2002-2,叶渭渠,8.2
[日] 村上春树,上海译文出版社,世界尽头与冷酷仙境,2002-12,林少华,8.6
[英] 奥斯丁,上海译文出版社,傲慢与偏见,1996-12,王科一,9.0
[英] 伊恩·麦克尤恩,南京大学出版社,最初的爱情 最后的仪式,2010-2,潘帕,8.0
安妮宝贝,2001-9,彼岸花,20.00元,南海出版公司,7.8
笛安,2009-3,西决,22.80元,长江文艺出版社,7.9
[英] 阿加莎·克里斯蒂,人民文学出版社,东方快车谋杀案,2006-5,陈尧光,9.0
[日] 村上春树,上海译文出版社,挪威的森林,2007-7,林少华,8.5
蒋勋,2009-10-1,孤独六讲,36.00元,广西师范大学出版社,8.1
（法）勒庞,中央编译出版社,乌合之众,2011-5-1,冯克利,8.3
南派三叔,2007-4,盗墓笔记2,26.80元,中国友谊出版公司,8.2
当年明月,2007-9,明朝那些事儿（肆）,24.80,中国友谊出版公司,8.8
幾米,2002-2,地下铁,32.00元,辽宁教育出版社,8.3
[日] 村上春树,上海译文出版社,且听风吟,2001-8,林少华,7.8
[苏] 尼·奥斯特洛夫斯基,译林出版社,钢铁是怎样炼成的,1996-10,曹缦西,7.6
张爱玲,1996-06,红玫瑰与白玫瑰,12.80元,花城出版社,8.4
安意如,2006-8,人生若只如初见,23.80元,天津教育出版社,7.2
太宰治,吉林出版集团有限责任公司,人间失格,2009年9月,许时嘉,8.3
天下霸唱,2006,鬼吹灯之精绝古城,25.0,安徽文艺出版社,8.1
（丹麦）安徒生,人民文学出版社,安徒生童话故事集,1997-08,叶君健,9.2
[美] 加布瑞埃拉·泽文,江苏凤凰文艺出版社,岛上书店,2015-5-1,孙仲旭,7.6
唐七公子,2009-1,三生三世 十里桃花,26.80,沈阳出版社,7.9
[日] 村上春树,上海译文出版社,海边的卡夫卡,2003-4,林少华,8.1
余秋雨,2001-4,文化苦旅,22.00元,东方出版中心,7.7
大仲马,上海译文出版社,基督山伯爵,1991-12-1,周克希,9.0
[日] 黑柳彻子 著,南海出版公司,窗边的小豆豆,2003-1,赵玉皎,8.7
当年明月,2008-3,明朝那些事儿（伍）,28.80,中国友谊出版公司,8.8
老舍,2000-3-1,骆驼祥子,12.00,人民文学出版社,8.3
南派三叔,2007-11,盗墓笔记3,26.80元,中国友谊出版公司,8.4
[美] 欧·亨利,上海社会科学院出版社,麦琪的礼物,2003-7,张经浩,8.6
格林兄弟,人民文学出版社,格林童话全集,1994-11,魏以新,8.9
[美] 莫提默·J. 艾德勒,商务印书馆,如何阅读一本书,2004-1,郝明义,8.4
[美] 雷蒙德·卡佛,译林出版社,当我们谈论爱情时我们在谈论什么,2010-1,小二,7.8
[德] 帕·聚斯金德,上海译文出版社,香水,2005-5,李清华,8.5
三毛,2007-6,梦里花落知多少,28.00元,北京十月文艺出版社,8.9
王小波,2006-4,一只特立独行的猪,18.80元,北方文艺出版社,8.8
[法] 阿尔贝·加缪,上海译文出版社,局外人,2010-9,柳鸣九,9.0
【英】蕾秋·乔伊斯,北京联合出版公司,一个人的朝圣,2013-9-1,黄妙瑜,8.1
[美] 沃尔特·艾萨克森,中信出版社,史蒂夫·乔布斯传,2011-10-24,管延圻,8.7
[意大利]伊塔洛·卡尔维诺,译林出版社,看不见的城市,2006-8,张宓,8.8
天下霸唱,2006-11,鬼吹灯之云南虫谷,26.80元,安徽文艺出版社,8.0
当年明月,2009-4,明朝那些事儿（柒）：大结局,29.80元,中国海关出版社,8.9
李笑来,2009-6,把时间当作朋友,32.00元,电子工业出版社,8.5
[澳] 朗达·拜恩,中国城市出版社,秘密,2008-11,谢明宪,7.3
[美] 丹.布朗,人民文学出版社,天使与魔鬼,2005-2,朱振武,8.2
古典,2010-9,拆掉思维里的墙,29.80元,中国书店,7.9
当年明月,2008-11,明朝那些事儿（陆）,28.80,中国海关出版社,8.8
文：安东尼,2010-3,这些都是你给我的爱,24.80元,长江文艺出版社,8.4
吴念真,2011-9,这些人，那些事,28.00元,译林出版社,8.8
安妮宝贝,2001-1,八月未央,16.00元,作家出版社,7.5
[日] 村上春树,南海出版公司,当我谈跑步时我谈些什么,2009-1,施小炜,8.1
当年明月,2007-1,明朝那些事儿（贰）,24.80,中国友谊出版公司,8.9
安妮宝贝,2004-10,清醒纪,22.00元,天津人民出版社,7.9
[奥] 斯台芬·茨威格,上海译文出版社,一个陌生女人的来信,2007-7,张玉书,8.7
鲍鲸鲸,2010-1,失恋33天,25.00元,中信出版社,8.1
[英] 乔治·奥威尔,上海译文出版社,动物农场,2007-3,荣如德,9.2
饶雪漫,2006-2,左耳,22.00元,当代世界出版社,7.0
金庸,2008-3,鹿鼎记（全五册）,108.00元,广州出版社 花城出版社,8.8
鲁迅,1973年3月,呐喊,0.36元,人民文学出版社,8.8
张爱玲,2009-4,小团圆,28.00,北京十月文艺出版社,7.6
明晓溪,2006-3,泡沫之夏,20.00元,新世界出版社,6.9
明晓溪,2005-5,会有天使替我爱你,20.00元,新世界出版社,6.6
[英] 乔治·奥威尔,北京十月文艺出版社,1984,2010-4-1,刘绍铭,9.3
[明] 罗贯中,1998-05,三国演义（全二册）,39.50元,人民文学出版社,9.2
王小波,1999-3,黄金时代,19.00元,花城出版社,8.8
阿来,1998-3-1,尘埃落定,22.0,人民文学出版社,8.4
张悦然,2005-1,水仙已乘鲤鱼去,19.00元,作家出版社,7.8
林达,1997-5,历史深处的忧虑,19.00元,生活·读书·新知三联书店,9.0
王安忆,2003-8,长恨歌,22.00元,南海出版公司,8.2
九夜茴,2008-1,匆匆那年（上下）,29.00,东方出版社,8.3
孙睿,2004-1,草样年华,19.50元,远方出版社,7.1
章诒和,2004-1,往事并不如烟,35.00元,人民文学出版社,8.6
安妮宝贝,2002-8,蔷薇岛屿,18.00元,作家出版社,8.0
李海鹏,2010-6,佛祖在一号线,25.00元,文化艺术出版社,8.2
金庸,1999-04,倚天屠龙记(共四册),0,三联书店,8.5
hans,2009-1,阿狸·梦之城堡,36.80元,上海锦绣文章出版社,9.0
蔡康永 著,2010-10,蔡康永的说话之道,25.00元,沈阳出版社,7.1
(法)马克·李维,湖南文艺出版社,偷影子的人,2012-6-20,段韵灵,7.8
安东尼,2008-3,陪安东尼度过漫长岁月,18.00,长江文艺出版社,8.3
王小波,1997-10,沉默的大多数,27.00元,中国青年出版社,9.1
陈忠实,1997-12,白鹿原,28.00元,人民文学出版社,8.6
落落,2005-2,年华是无效信,20.00元,春风文艺出版社,7.6
〔日〕东野圭吾,南海出版公司,幻夜,2009年9月,李炜,7.5
[美] 杰克·凯鲁亚克,上海译文出版社,在路上,2006-10,王永年,7.8
金庸,1999-04,射雕英雄传（全四册）,47.00元,生活·读书·新知三联书店,8.9
当年明月,2009-4,明朝那些事儿（1-9）,358.20元,中国海关出版社,9.1
寂地,2004-10,我的路,20.00元,北方妇女儿童出版社,8.6
李可,2009-1,杜拉拉2华年似水,28.00,陕西师范大学出版社,7.3
落落,2007-12,不朽,22.00,长江文艺出版社,7.6
[美国] 桑德拉·希斯内罗丝,译林出版社,芒果街上的小屋,2006-6,潘帕,7.8
（法）莫泊桑,北京燕山出版社,羊脂球,2007-6,柳鸣九,8.1
[英] 笛福,广西民族出版社,鲁滨逊漂流记,2002-1,马静,8.0
[日] 井上雄彦,长春出版社,灌篮高手31,2005-1,邹宁,9.5
三毛,2003-8,撒哈拉的故事,15.80元,哈尔滨出版社,9.2
幾米,2000-2-1,月亮忘記了,NT$ 299,格林,8.6
当年明月,2007-4,明朝那些事儿（叁）,24.80,中国友谊出版公司,8.9
三毛,2003-6,哭泣的骆驼,15.80元,哈尔滨出版社,8.9
辛夷坞,2007-10,原来你还在这里,25.00元,朝华出版社,7.6
[法]雨果,人民文学出版社,巴黎圣母院,1982-6,陈敬容,8.3
[美] 斯蒂芬·金,人民文学出版社,肖申克的救赎,2006-7,施寄青,9.1
[美国] J. D. 塞林格,译林出版社,麦田里的守望者,2007-3,孙仲旭,8.1
[美] 伍绮诗,江苏凤凰文艺出版社,无声告白,2015-7,孙璐,8.2
